trading_account_id,open_date,last_execution_date,close_date,symbol,trade_position,currency,underlying,asset_type,open_price,close_price,base_gross_pnl,base_net_pnl,total_quantity,total_buy_quantity,total_sell_quantity,remaining_quantity,total_executions,total_duration,total_commission,total_fees,stop_loss,profit_target,tags,notes
ŁukaszK,2023-09-19T09:45:02-0400,2023-09-19T09:50:41-0400,2023-09-19T09:50:41-0400,MESZ23,long,USD,MES,future,4493.0,4490.0,-30.0,-33.08,4.0,2.0,2.0,0.0,2,339.0,3.08,0.0,4490.0,4506.0,MRL (A),
ŁukaszK,2023-11-28T10:12:36-0500,2023-11-28T10:30:02-0500,2023-11-28T10:30:02-0500,MESZ23,long,USD,MES,future,4552.5,4555.0,65.0,59.24,8.0,4.0,4.0,0.0,3,1046.0,5.76,0.0,4548.5,4561.0,MRL (A),
ŁukaszK,2023-07-06T03:20:02-0400,2023-07-06T03:24:16-0400,2023-07-06T03:24:16-0400,MESU23,short,USD,MES,future,4463.5,4467.0,-52.5,-52.5,6.0,3.0,3.0,0.0,2,254.0,0.0,0.0,4467.0,4456.0,"LateEntry,MS (A)",
ŁukaszK,2023-05-22T10:12:42-0400,2023-05-22T10:43:12-0400,2023-05-22T10:43:12-0400,MESM23,long,USD,MES,future,4204.25,4204.75,47.5,42.88,6.0,3.0,3.0,0.0,4,1830.0,4.62,0.0,4200.5,4208.75,MRL (B),
ŁukaszK,2023-06-05T10:40:02-0400,2023-06-05T10:45:00-0400,2023-06-05T10:45:00-0400,MESM23,short,USD,MES,future,4290.25,4294.75,-45.0,-48.08,4.0,2.0,2.0,0.0,2,298.0,3.08,0.0,4294.75,4181.0,MS (A),
ŁukaszK,2023-05-15T11:30:08-0400,2023-05-15T11:51:20-0400,2023-05-15T11:51:20-0400,MESM23,short,USD,MES,future,4140.25,4143.0,-41.25,-45.87,6.0,3.0,3.0,0.0,2,1272.0,4.62,0.0,4143.0,4134.75,MRS (B),
ŁukaszK,2023-07-31T09:55:01-0400,2023-07-31T09:57:00-0400,2023-07-31T09:57:00-0400,ESU23,short,USD,ES,future,4613.5,4605.25,412.5,407.92,2.0,1.0,1.0,0.0,2,119.0,4.58,0.0,4617.25,4605.25,MRS (A),
ŁukaszK,2023-07-28T12:51:58-0400,2023-07-28T12:57:41-0400,2023-07-28T12:57:41-0400,ESU23,long,USD,ES,future,4612.25,4610.5,-87.5,-92.08,2.0,1.0,1.0,0.0,2,343.0,4.58,0.0,N/A,N/A,ML (A),
ŁukaszK,2023-06-29T10:14:25-0400,2023-06-29T10:23:24-0400,2023-06-29T10:23:24-0400,MESU23,long,USD,MES,future,4418.25,4422.5,61.25,58.17,4.0,2.0,2.0,0.0,3,539.0,3.08,0.0,4414.25,4426.24,MRL (A),
ŁukaszK,2023-04-14T09:43:03-0400,2023-04-14T09:46:25-0400,2023-04-14T09:46:25-0400,ESM23,long,USD,ES,future,4177.5,4183.0,275.0,270.42,2.0,1.0,1.0,0.0,2,202.0,4.58,0.0,4174.75,4183.0,ML (A),
ŁukaszK,2023-11-03T11:08:17-0400,2023-11-03T11:12:21-0400,2023-11-03T11:12:21-0400,MESZ23,short,USD,MES,future,4367.75,4369.25,13.75,10.67,4.0,2.0,2.0,0.0,4,244.0,3.08,0.0,4371.75,4358.0,MRS (A),SimpleBracket.twconfig
ŁukaszK,2023-08-15T10:23:09-0400,2023-08-15T10:30:28-0400,2023-08-15T10:30:28-0400,MESU23,short,USD,MES,future,4466.25,4465.5,7.5,4.42,4.0,2.0,2.0,0.0,2,439.0,3.08,0.0,N/A,N/A,MS (A+),
ŁukaszK,2023-08-11T09:56:17-0400,2023-08-11T10:16:03-0400,2023-08-11T10:16:03-0400,MESU23,long,USD,MES,future,4467.25,4484.0,121.25,118.17,4.0,2.0,2.0,0.0,3,1186.0,3.08,0.0,4463.75,4484.0,MRL (A),
ŁukaszK,2023-09-25T09:44:51-0400,2023-09-25T09:57:00-0400,2023-09-25T09:57:00-0400,MESZ23,long,USD,MES,future,4354.5,4365.0,85.0,81.92,4.0,2.0,2.0,0.0,3,729.0,3.08,0.0,4350.5,4365.0,MRL (B),<br>
ŁukaszK,2023-04-18T10:06:53-0400,2023-04-18T10:09:05-0400,2023-04-18T10:09:05-0400,ESM23,short,USD,ES,future,4178.5,4181.0,-125.0,-129.58,2.0,1.0,1.0,0.0,2,132.0,4.58,0.0,4181.0,4166.0,"MS (B),Pre-empt",
ŁukaszK,2023-06-22T10:28:12-0400,2023-06-22T10:38:36-0400,2023-06-22T10:38:36-0400,MESU23,long,USD,MES,future,4414.25,4410.0,-63.75,-68.37,6.0,3.0,3.0,0.0,2,624.0,4.62,0.0,4410.0,4420.0,ML (A),
ŁukaszK,2023-09-21T11:09:07-0400,2023-09-21T11:34:00-0400,2023-09-21T11:34:00-0400,MESZ23,short,USD,MES,future,4402.0,4401.0,35.0,31.92,4.0,2.0,2.0,0.0,3,1493.0,3.08,0.0,4405.0,4392.0,MS (A),<br>
ŁukaszK,2023-09-11T11:22:32-0400,2023-09-11T13:18:41-0400,2023-09-11T13:18:41-0400,MESZ23,long,USD,MES,future,4525.5,4534.0,62.5,59.42,4.0,2.0,2.0,0.0,3,6969.0,3.08,0.0,4521.5,4534.0,MRL (B),
ŁukaszK,2023-12-14T10:19:07-0500,2023-12-14T10:38:23-0500,2023-12-14T10:38:23-0500,MESH24,long,USD,MES,future,4776.0,4772.25,-75.0,-81.16,8.0,4.0,4.0,0.0,4,1156.0,6.16,0.0,4772.0,4785.0,MRL (A),<br>
ŁukaszK,2023-10-11T10:36:12-0400,2023-10-11T10:51:29-0400,2023-10-11T10:51:29-0400,MESZ23,short,USD,MES,future,4394.75,4398.25,-140.0,-152.32,16.0,8.0,8.0,0.0,4,917.0,12.32,0.0,4398.25,4386.0,MS (A),<br>
ŁukaszK,2023-12-12T09:58:53-0500,2023-12-12T10:49:54-0500,2023-12-12T10:49:54-0500,MESH24,long,USD,MES,future,4670.75,4679.0,135.0,128.84,8.0,4.0,4.0,0.0,3,3061.0,6.16,0.0,4666.75,4683.0,MRL (B),<br>
